data,casos_positivos,notificacoes,casos_area_1,casos_area_2,casos_area_3,casos_area_4,casos_area_5,casos_area_101
08/02/2019,23,,,,,,,
11/02/2019,23,98,1,7,6,7,2,0
14/02/2019,60,200,2,8,34,11,5,0
28/02/2019,111,383,,,,,,
08/03/2019,147,488,,,,,,
15/03/2019,237,647,,,,,,
29/03/2019,385,1039,,,110,,93,
05/04/2019,472,1149,49,81,117,94,127,4
24/05/2019,1603,3505,,,,,,
31/05/2019,1809,3968,261,269,184,317,753,24
13/07/2019,2989,7580,395,377,241,556,1333,68
30/08/2019,2989,7551,392,377,240,555,1333,68
13/09/2019,2989,7580,395,377,241,556,1333,68
04/10/2019,2994,7632,395,377,242,557,1336,68
25/10/2019,3006,7737,398,379,243,560,1338,68
02/12/2019,3016,7918,401,380,244,562,1338,68
13/12/2019,3021,,403,380,244,564,1339,68
